HQRJ	CoreEudicots Saxifragales	Eudicots
HRUR	CoreEudicots/Asterids	Asterids
HRWG	Mosses	Mosses
HTFH	LeptosporangiateMonilophytes	Monilophytes
HTIP	CoreEudicots Saxifragales	Eudicots
HUQC	CoreEudicots/Asterids	Asterids
HUSX	CoreEudicots/Asterids	Asterids
HVBQ	Mosses	Mosses
HVNO	Chlorodendrales	Chlorophyta
HWUP	Monocots	Monocots
HXCD	CoreEudicots/Asterids	Asterids
HXJE	Monocots	Monocots
HYHN	prasinophytes/Prasinococcales Prasinococcales	Chlorophyta
HYZL	CoreEudicots/Rosids	Rosids
HZTS	CoreEudicots Caryophyllales	Caryophyllales
IADP	Monocots	Monocots
IAJW	Pinales	Gymnosperms
IANR	CoreEudicots/Rosids	Rosids
IAYV	Chromista	Chromista
ICNN	Monocots	Monocots
IDAU	CoreEudicots/Rosids	Rosids
IDGE	CoreEudicots/Asterids	Asterids
IEHF	Rhodophyta	Rhodophyta
IEPQ	CoreEudicots/Rosids	Rosids
IFLI	Pinales	Gymnosperms
IGUH	Mosses	Mosses
IHCQ	CoreEudicots/Rosids	Rosids
IHJY	Rhodophyta	Rhodophyta
IHOI	Chlorophyceae	Chlorophyta
IHPC	CoreEudicots/Asterids	Asterids
IIOL	Pinales	Gymnosperms
IJMT	Chlorophyceae	Chlorophyta
IKFD	CoreEudicots/Rosids	Rosids
IKIZ	Rhodophyta	Rhodophyta
IKWM	Rhodophyta	Rhodophyta
ILBQ	Liverworts	Liverworts
IMZV	CoreEudicots/Rosids	Rosids
INQX	CoreEudicots/Rosids	Rosids
INSP	CoreEudicots/Rosids	Rosids
IOVS	Pinales	Gymnosperms
IPWB	CoreEudicots/Rosids	Rosids
IRAF	BasalEudicots Ranunculales	Eudicots
IRBN	Liverworts	Liverworts
IRYH	Chlorophyceae	Chlorophyta
IRZA	Chromista	Chromista
ISGT	Chlorophyceae	Chlorophyta
ISHC	Zygnemophyceae	Streptophyte Algae
ISIM	Nephroselmidophyceae Nephroselmidales	Chlorophyta
ISPU	Chlorophyceae	Chlorophyta
IUSR	CoreEudicots Saxifragales	Eudicots
IWIS	CoreEudicots Caryophyllales	Caryophyllales
IWMW	BasalEudicots	Eudicots
IXEM	Monocots	Monocots
IXLH	LeptosporangiateMonilophytes	Monilophytes
IXVJ	CoreEudicots/Asterids	Asterids
IYDF	CoreEudicots/Asterids	Asterids
IZGN	Pinales	Gymnosperms
IZLO	CoreEudicots/Asterids	Asterids
IZNU	CoreEudicots/Asterids	Asterids
JADL	Mosses	Mosses
JAFJ	CoreEudicots Caryophyllales	Caryophyllales
JBLI	LeptosporangiateMonilophytes	Monilophytes
JBND	Pinales	Gymnosperms
JCLQ	CoreEudicots/Asterids	Asterids
JCMU	CoreEudicots/Asterids	Asterids
JCXF	Chromista	Chromista
JDQB	Pinales	Gymnosperms
JDTY	Monocots	Monocots
JEBK	Rhodophyta	Rhodophyta
JEPE	CoreEudicots/Asterids	Asterids
JETM	CoreEudicots/Rosids	Rosids
JEXA	CoreEudicots/Asterids	Asterids
JGAB	CoreEudicots Caryophyllales	Caryophyllales
JGGD	Chromista	Chromista
JGYZ	CoreEudicots/Asterids	Asterids
JHCN	CoreEudicots/Rosids	Rosids
JHFI	Liverworts	Liverworts
JHUL	Monocots	Monocots
JIWJ	Ulvophyceae	Chlorophyta
JJZR	Rhodophyta	Rhodophyta
JKAA	Lycophytes	Lycophytes
JKHA	Glaucophyta	Glaucophyta
JKKI	Chlorophyceae	Chlorophyta
JKNQ	CoreEudicots/Rosids	Rosids
JLOV	CoreEudicots Caryophyllales	Caryophyllales
JMTE	prasinophytes Pseudoscourfieldiales	Chlorophyta
JMUI	Chlorophyceae	Chlorophyta
JMXW	Mosses	Mosses
JNKW	CoreEudicots/Asterids	Asterids
JNUB	Monocots	Monocots
JNVS	CoreEudicots/Asterids	Asterids
JOIS	CoreEudicots/Rosids	Rosids
JOJQ	Zygnemophyceae	Streptophyte Algae
JPDJ	CoreEudicots/Asterids	Asterids
JPYU	Liverworts	Liverworts
Marpo_v1.0	Liverworts	Liverworts
JQFK	Trebouxiophyceae	Chlorophyta
JRGZ	Chlorophyceae	Chlorophyta
JRNA	Pinales	Gymnosperms
JSAG	Monocots	Monocots
JSZD	CoreEudicots/Rosids	Rosids
JTIG	Ulvophyceae	Chlorophyta
JTQQ	CoreEudicots/Rosids	Rosids
JTRM	CoreEudicots/Asterids	Asterids
JUWL	Pinales	Gymnosperms
JVBR	Monocots	Monocots
JVSZ	EusporangiateMonilophytes	Monilophytes
JWEY	CoreEudicots/Asterids	Asterids
JWGT	Chlorophyceae	Chlorophyta
JYMN	CoreEudicots/Asterids	Asterids
JZVE	Pinales	Gymnosperms
KADG	Ulvophyceae	Chlorophyta
KAWQ	Cycadales Cycadales	Gymnosperms
KAYP	Magnoliids	Magnoliids
KBRW	CoreEudicots/Rosids	Rosids
KBXS	Monocots	Monocots
KCPT	CoreEudicots/Rosids	Rosids
KDCH	CoreEudicots Caryophyllales	Caryophyllales
KEFD	Mosses	Mosses
KEGA	CoreEudicots/Rosids	Rosids
